Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
Griptape,https://www.crunchbase.com/organization/griptape,"6,992",16,Active,For Profit,2023-09-14,"Griptape is an enterprise-grade Python framework that helps developers harness LLMs' potential. The company is based on an open source modular Python framework for LLM workflows, tools, memory, and data that empowers developers to build AI agents, sequential LLM pipelines, and sprawling DAG workflows with strict security and reliability measures.",Seed,2023-05-01,month,"Artificial Intelligence (AI), Data Integration, Enterprise Software, Internet, Machine Learning","Seattle, Washington, United States",Griptape is an enterprise-grade Python framework that helps developers harness LLMs' potential.,"8,859",12544141,USD,12544141,14594141,USD,14594141,4,"Peterson Ventures, Acequia Capital (AceCap), Range Ventures, Service Provider Capital",2,https://www.griptape.ai/,"Greater Seattle Area, West Coast, Western US",$1M to $10M,,,https://www.linkedin.com/company/griptape-ai/,,,,,,2,11-50,"Kyle Roche, Vasily Vasinov"
"Layer AI, Inc",https://www.crunchbase.com/organization/layer-e061,"32,667",,Active,For Profit,2023-11-16,"Layer is the number one productivity tool for gaming creators. Whether creating solo or working in a team, creators of any skill level can train the AI using their own art work and create infinite new variations. Layer allows gaming creators ship games faster overall and run them more effectively by shipping monetization and marketing art more effectively. Layer currently serves 100s of gaming creators of any sizes globally.",Seed,2023-07-01,month,"Art, Artificial Intelligence (AI), Casual Games, Machine Learning, Software, Video Games","San Francisco, California, United States",Layer AI is the number one productivity tool for professional game art creation serving game creators and publishers of all sizes globally.,"8,894",1800000,USD,1800000,1800000,USD,1800000,12,"GFR Fund, 500 Emerging Europe, The Games Fund, Akin Babayigit, Laton Ventures",,https://layer.ai/,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/layer_ai,,https://linkedin.com/company/layerai,,,,,,4,1-10,"F. Burcu Ozcengiz (Hakguder), Kuochin Lien, Mehmet Ecevit, Volkan Gurel"
1337,https://www.crunchbase.com/organization/1337,"11,912",3,Active,For Profit,2023-10-26,"1337 is a generative A1 platform committed to connecting niche communities through hyper-personalized interests. Through its A1-driven Entities, 1337 is providing a new way to co-create with A1, championing an open-source-inspired approach that encourages people to engage with creators, brands and each other in a collaborative fashion.",Pre-Seed,2023-04-01,day,"Content Creators, Information Technology, Internet, Machine Learning, Media and Entertainment, Social Media","New York, New York, United States",A diverse ecosystem of A1 Entities.,"8,977",4000000,USD,4000000,4000000,USD,4000000,8,"GFR Fund, Clément Delangue, Spacecadet Ventures, Credo Ventures, Roosh Ventures",,https://1337.org,"Greater New York Area, East Coast, Northeastern US",,,https://instagram.com/1337org,https://linkedin.com/company/1337org,,,,,,2,1-10,"Jenny Dearing, Robin Raszka"
Legalyze.ai,https://www.crunchbase.com/organization/legalyze-ai,,,Active,For Profit,2024-01-24,"Legalyze.ai is a provider of an AI toolkit for lawyers to chat with their case documents, generate legal documents, and search for case law.",Angel,2023-03-23,day,"Artificial Intelligence (AI), Legal Tech, Machine Learning, SaaS","Dallas, Texas, United States",Legalyze.ai provides an AI toolkit for lawyers to chat with their case documents and generate legal documents.,"9,432",100000,USD,100000,150000,USD,150000,2,"Payment Ventures, Tony VanBrackle",2,https://legalyze.ai,"Dallas/Fort Worth Metroplex, Southern US",$1M to $10M,,,https://www.linkedin.com/company/legalyze-ai/,,,,,,1,1-10,Chris Ford
Jobright,https://www.crunchbase.com/organization/jobright,"1,033",,Active,For Profit,2023-07-15,"Jobright offers an AI-powered job assistant that recommends job opportunities to the user. The AI used by Jobright digs deep into the requirements and comprehends various user profiles with astounding accuracy. It stays current with the most recent insights from all sectors, businesses, and positions.",Seed,2023-04-05,day,"Artificial Intelligence (AI), Employment, Recruiting, Search Engine","Santa Clara, California, United States",Jobright offers an AI-powered job assistant that recommends job opportunities to the user.,"11,047",4500000,USD,4500000,4500000,USD,4500000,,,,https://jobright.ai,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/jobright-ai,,,,,,,1-10,
Nim,https://www.crunchbase.com/organization/nim-9306,,,Active,For Profit,2024-02-07,,Pre-Seed,2024-01-31,day,"Artificial Intelligence (AI), Generative AI","Denver, Colorado, United States",Generative Video for Professionals,"11,595",700000,USD,700000,700000,USD,700000,4,"SignalFire, Siqi Chen, Great Oaks Venture Capital, Trent Herren",1,https://nim.video,"Greater Denver Area, Western US",,https://twitter.com/nimvideo,,https://www.linkedin.com/company/nimvideo/about/,,,,,,1,1-10,Yury Lifshits
STORI,https://www.crunchbase.com/organization/stori-ai,"23,495",,Active,For Profit,2024-02-06,STORI is streamlining brand building & consistent content creation that resonates with target audience for multiple social media platforms at once.,Pre-Seed,2023-09-14,day,"Artificial Intelligence (AI), Brand Marketing, Marketing, Software","San Francisco, California, United States",Brand Automation With AI,"12,572",500000,USD,500000,500000,USD,500000,1,500 Global,1,https://storiai.com,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/STORIAI_com,,https://www.linkedin.com/company/storiai/,,,,,,,11-50,
Software Applications Incorporated,https://www.crunchbase.com/organization/software-applications-incorporated,,2,Active,For Profit,2023-11-30,,Seed,2023-08-01,month,"Artificial Intelligence (AI), Cloud Computing, Data Integration","San Francisco, California, United States",Rethinking the personal computing experience,"14,697",6500000,USD,6500000,6500000,USD,6500000,11,"Betaworks, Sam Altman, 1517 Fund, Nicholas Donahue, Nitesh Banta",2,https://software.inc/,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/SoftwareAppsInc,,https://www.linkedin.com/company/software-applications-incorporated,,,,,,3,1-10,"Ari Weinstein, Conrad Kramer, Kimberly Beverett"
Supply Pay,https://www.crunchbase.com/organization/supply-pay,,,Active,For Profit,2024-02-01,"Supply Pay is a cross-border fintech platform that finances trade between importers based in the United States of America and exporters, mainly in Latin America. Supply Pay takes advantage of technology to manage the risk and to authorize financing according to the risk grade of both: importers and exporters. Moreover, Supply Pay gives access the customers to information and monitoring of their customer’s risk.  Giving faster payments and liquidity allows the companies to grow and generate more sustainable business. Cash flow issues are of the most common reasons why companies fail, Supply Pay solves these.",Pre-Seed,2023-11-11,day,"Artificial Intelligence (AI), FinTech, Information Technology","Mcallen, Texas, United States",Cross-border fintech platform,"15,400",250000,USD,250000,260000,USD,260000,,,,https://supplypaytx.com,Southern US,,,,,,,,,,3,1-10,"J. Ayala, J. Sawyer, W. Steele"
Digi,https://www.crunchbase.com/organization/digi-0990,786,4,Active,For Profit,2023-05-07,"Digi develops romantic AI companions that allow users to interact with a customized avatar. The company is exploring the extent to which individuals can derive satisfaction from relationships with AI partners. Through its initial app, users can engage with an AI companion that genuinely comprehends and grows alongside them.",Pre-Seed,2023-04-06,day,"Apps, Artificial Intelligence (AI), Dating","San Francisco, California, United States",Digi develops romantic AI companions that allow users to interact with a customized avatar.,"15,613",1100000,USD,1100000,1100000,USD,1100000,4,"Naval Ravikant, Joseph Jacks, Jeroen Bertrams, Raghav Gulati",1,https://digi.ai,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/digi-ai,,,,,,2,1-10,"Andrew Young (Ohlbaum), John Rooney"
Nectar AI,https://www.crunchbase.com/organization/nectar-ai,"36,745",,Active,For Profit,2023-10-26,Nectar is an AI powered social commerce platform that helps brands scale comms and drive conversions through messaging.,Pre-Seed,2023-05-30,day,"Artificial Intelligence (AI), E-Commerce, Marketing Automation, Retail, Software","Seattle, Washington, United States",Conversational AI platform for social-first Brands,"16,491",1800000,USD,1800000,1800000,USD,1800000,8,"BAM Ventures, Flying Fish Partners, Trust Fund, XRC Ventures, Dash VC",1,https://getnectar.ai,"Greater Seattle Area, West Coast, Western US",,,,https://www.linkedin.com/company/96878768/,,,,,,2,1-10,"Farah Uraizee, Misbah Uraizee"
Jamix,https://www.crunchbase.com/organization/jamix-a934,,,Active,For Profit,2024-02-21,"Jamix is your AI assistant for work. We connect with your company's apps, data, and APIs. This enables you to search across your apps, chat with your data, and automate daily tasks. We take your data security and privacy seriously, and never train models using your data.",Pre-Seed,2023-04-10,day,Artificial Intelligence (AI),"San Francisco, California, United States",Your AI assistant for work,"16,969",3000000,USD,3000000,3000000,USD,3000000,10,"C² Ventures, Audacious Ventures, Chris Prucha, Oleg Rogynskyy, Keith Peiris",1,https://www.jamix.ai,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/jamix_ai,,https://www.linkedin.com/company/jamix-ai/,,,,,,2,1-10,"Conglei Shi, Matt Zitzmann"
Vantage Discovery,https://www.crunchbase.com/organization/vantage-discovery,,4,Active,For Profit,2023-07-01,"Vantage Discovery is an engine for harnessing the power of generative AI embeddings to deliver astoundingly insightful search results, a platform for enabling new experiences for discovering and contextualizing content and products, a service for implementing production-ready solutions in hours, not weeks.",Seed,2023-05-01,month,"Artificial Intelligence (AI), Content Discovery, Personalization, SaaS, Semantic Search","San Francisco, California, United States","Vantage Discovery is an AI-powered search and content discovery platform, delivered as a service.","17,554",4000000,USD,4000000,4000000,USD,4000000,2,"Future Positive, Common Metal",1,https://vantagediscovery.com,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/VantageAI,,https://www.linkedin.com/company/vantage-discovery,,,,,,2,11-50,"Lance Riedel, Nigel Daley"
Synthpop,https://www.crunchbase.com/organization/synthpop,,,Active,For Profit,2023-08-15,Synthpop is a healthcare SaaS development company.,Seed,2023-04-20,day,"Artificial Intelligence (AI), Health Care, SaaS","Wellesley, Massachusetts, United States",Synthpop is a healthcare SaaS development company.,"18,677",2600000,USD,2600000,2600000,USD,2600000,9,"Flexcap, Newfund, Page One Ventures, OVO Fund, Half Court Ventures",,https://www.synthpop.ai,"Greater Boston Area, East Coast, New England",,,,,,,,,,2,1-10,"Elad Ferber, Jan Jannink"
Brask AI,https://www.crunchbase.com/organization/brask-ai,,,Active,For Profit,2022-09-01,"Brask is a global AI content company that reimagines content creation and customization by leveraging generative AI technology. We develop products and services for content entrepreneurs, such as our AI video localization and dubbing tool, Rask AI. Our production agency, Brask Doubles, works directly with brands, agencies, and celebrities, harnessing the power of AI to create hyper-realistic digital doubles. Our research arm, Brask AI, works on the questions of AI ethics and protecting authenticity in the age of AI.",Series A,2023-04-20,day,"Advertising, Artificial Intelligence (AI), Content Creators, Video","Dover, Delaware, United States",Brask is a global AI content company that reimagines content creation and customization by leveraging generative AI technology.,"20,143",6600000,USD,6600000,6600000,USD,6600000,,,,https://www.brask.ai,"East Coast, Southern US",,,,https://www.linkedin.com/company/brask-ai/,,,,,,1,51-100,Maria Chmir
Studdy,https://www.crunchbase.com/organization/studdy-23fd,,3,Active,For Profit,2023-08-07,"Studdy is a tutoring platform leveraging artificial intelligence to help students grasp diverse subjects within the school curriculum. The platform operates as a multilingual tutor that uses AI, as well as advanced speech, text, and image recognition technology to enhance students' ability to learn new subjects.",Pre-Seed,2023-04-01,month,"Artificial Intelligence (AI), E-Learning, EdTech, Education, SaaS","San Francisco, California, United States",Studdy is an AI-based tutoring platform that assists students in learning various subjects in the school curriculum.,"20,484",2300000,USD,2300000,2300000,USD,2300000,7,"Y Combinator, Rebel Fund, big_bets, Garry Tan, Pioneer Fund",0,https://www.studdy.ai/,"San Francisco Bay Area, West Coast, Western US",,https://www.twitter.com/studdy_ai,,https://www.linkedin.com/company/studdyai/,,,,,,2,1-10,"Alex Lanzoni, Michael Lam"
Dune Security,https://www.crunchbase.com/organization/dune-security,,,Active,For Profit,2023-05-23,"AI fighting AI. CISOs face an impossible risk landscape today.  80% of cybersecurity breaches start because of employee error.  The problem is exacerbating with generative AI, as a single hacker can specifically target thousands of employees in the same amount of time that they used to specifically target tens of employees with social engineering.  CISOs lack tools to deal with employee risk and are held accountable when a breach inevitably happens. By leveraging AI at each step, Dune Security empowers organizations to quantify individual risk through analyzing user behavior, context, learning patterns, and third party data. This allows the automation of tailored cybersecurity measures to each individual, transforming vulnerabilities into strengths. Dune is the central engine of all employee risk data, which is a solution that is not just timely for organizations but necessary in navigating the present cybersecurity landscape. This gives the CISO the capability to understand who are the high risk employees, to what extent, and why - as well as automatically remediate and restrict access to keep their organization safe. Today, Dune Security uniquely replaces legacy and ineffective security awareness training by pinpointing the crucial 8% of employees responsible for 80% of the risk, ensuring all employees receive personalized, machine learning-driven training tailored to their risk profile. CISOs also have easy access to quantifiable data via robust reporting and API-out capability, enabling them to both report to compliance auditors, regulators, and insurance underwriters, as well as restrict access to high-risk employees through other security systems.",Pre-Seed,2023-05-16,day,"Artificial Intelligence (AI), Cyber Security, Information Technology, SaaS","New York, New York, United States",Dune Security uses AI to pioneer Employee Security Posture Management and reduce the attack surface for every enterprise.,"20,835",2000000,USD,2000000,2000000,USD,2000000,4,"Antler, Alumni Ventures, Firestreak Ventures, Sky Dayton",1,https://dunesecurity.io,"Greater New York Area, East Coast, Northeastern US",,,,https://www.linkedin.com/company/dune-security/,,,,,,2,1-10,"David DellaPelle, Michael Waite"
Fabi.ai,https://www.crunchbase.com/organization/fabi-ai,,4,Active,For Profit,2023-04-28,,Seed,2023-03-01,month,"Analytics, Artificial Intelligence (AI), Developer Tools","San Francisco, California, United States",Fabi.ai is a conversational AI engine which frees data teams from writing SQL for ad hoc requests.,"22,109",3000000,USD,3000000,3000000,USD,3000000,1,Eniac Ventures,1,https://www.fabi.ai/,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/fabi-ai/,,,,,,2,1-10,"Lei Tang, Marc Dupuis"
BrainLogic AI,https://www.crunchbase.com/organization/brainlogic-ai,,1,Active,For Profit,2023-08-21,,Seed,2023-03-01,day,Artificial Intelligence (AI),"Menlo Park, California, United States",BrainLogic AI is a cutting-edge startup developing AI products that foster positive change across Latin America. Creators of Zapia.com,"22,397",5000000,USD,5000000,5000000,USD,5000000,6,"SNR.vc, Factory, Kalei Ventures, Anthos Capital, Perceptive Ventures",1,https://brainlogic.ai,"San Francisco Bay Area, Silicon Valley, West Coast",$1M to $10M,https://twitter.com/BrainLogicAI,https://www.facebook.com/profile.php?id=100094130696990,https://www.linkedin.com/company/brainlogic-ai/about/,,,,,,2,1-10,"Juan Pablo Pereira, Martín Alcalá Rubí"
RAI,https://www.crunchbase.com/organization/rai-inc-florida,,,Active,For Profit,2024-02-16,"RAI is a mixed reality, generative AI, metaverse, and multiverse software solutions, platforms, and services provider. The industries the company tackles are augmented workspaces, heath tech, media and streaming, humanity, XR/MR + AI, and Meta Verse",Seed,2023-04-04,day,"Augmented Reality, Blockchain, Cloud Computing, Computer Vision, Generative AI, Information Technology, Machine Learning, Metaverse, Natural Language Processing, Virtual Reality","Orlando, Florida, United States","RAI is a mixed reality, generative AI, metaverse, multiverse software solutions, platforms, and services provider.","22,531",3500000,USD,3500000,6500000,USD,6500000,4,"Aura Investment, Del Morgan & Co, EST Global, SHIGERU AG",3,https://www.rai-inc.com,"East Coast, Southern US",,,,https://www.linkedin.com/company/rai-inc,,,,,,2,11-50,"JAY FU, MARK HU"
Trident AI,https://www.crunchbase.com/organization/trident-ai-4fe3,,,Active,For Profit,2024-02-04,"Trident's mission is to build a world of zero fraud victims. AI-enabled fraud needs to be fought by AI-enabled investigators. That’s why we’re building AI fraud investigators to help banks and fintechs around the world keep up with the rising rates of fraud and scams, and protect their customers.",Pre-Seed,2024-01-01,day,"Artificial Intelligence (AI), Banking, Cyber Security, Financial Services, FinTech, Fraud Detection, Machine Learning","San Francisco, California, United States","AI Fraud Investigators for Banks and Fintechs, B2B SaaS","22,534",125000,USD,125000,125000,USD,125000,1,Entrepreneur First,1,https://tridentai.co,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/100834266,,,,,,2,1-10,"David Mlčoch, Zain Hussain"
Afforai,https://www.crunchbase.com/organization/afforai,"29,442",,Active,For Profit,2023-11-01,"Researchers use Afforai to search, summarize, and distill information from thousands of documents, regardless of the language and cultural barriers.",Seed,2023-04-24,day,"Artificial Intelligence (AI), Productivity Tools, SaaS, Vertical Search","Austin, Texas, United States",Your second brain to distill infinite knowledge to produce TRUSTWORTHY research,"24,143",750000,USD,750000,850000,USD,850000,3,"HATCHER+, Plug and Play, Sputnik ATX",1,https://afforai.com,Southern US,,,,https://linkedin.com/company/afforai/,,,,,,2,1-10,"Alec Nguyen, Hung Nguyen"
AgentAI,https://www.crunchbase.com/organization/agentai,,,Active,For Profit,2024-02-02,"AgentAI is dedicated to assisting healthcare providers & and medical billing companies in harnessing the power of AI to achieve substantial gains in efficiency and cost savings. We are committed to shaping a future where healthcare is more efficient, accessible, and cost-effective for all.",Seed,2023-06-01,month,"Artificial Intelligence (AI), Health Care, Information Technology","Los Angeles, California, United States","AI-Powered automation of the most time-consuming, and resource-draining tasks in Medical Billing.","24,510",1850000,USD,1850000,1850000,USD,1850000,1,Oceans,1,http://agentai.app,"Greater Los Angeles Area, West Coast, Western US",,,,https://www.linkedin.com/company/agentaiapp/,,,,,,1,1-10,Avesta Rasouli
Roadway,https://www.crunchbase.com/organization/roadway-1155,,,Active,For Profit,2023-08-15,,Seed,2023-07-01,month,"Analytics, Artificial Intelligence (AI), Developer Tools, Marketing","San Rafael, California, United States",AI-driven actionable analytics for growth marketing teams.,"25,096",3200000,USD,3200000,3200000,USD,3200000,3,"Neo, Precursor Ventures, Tokyo Black",1,https://roadwayai.com,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,2,1-10,"Sawyer Kisken, Tim Dalrymple"
Rhizome,https://www.crunchbase.com/organization/rhizome-ab37,,3,Active,For Profit,2023-06-01,"Rhizome's AI-powered climate platform helps utilities identify vulnerabilities from climate threats, quantify risk at high resolutions, and measure the benefits of grid-enhancing investments. At its core, we provide the highest standard of climate risk mitigation to ensure that communities and businesses are protected against intensifying extreme weather events.",Pre-Seed,2023-03-01,day,"Artificial Intelligence (AI), Enterprise Software, Facilities Support Services, Infrastructure, Power Grid","Washington, District of Columbia, United States",Rhizome is helping electric utilities assess and prevent climate-induced power grid failures.,"25,209",2500000,USD,2500000,2500000,USD,2500000,7,"StepChange, Everywhere Ventures (The Fund), Kindergarten Ventures, Jetstream, El Cap Holdings",1,https://www.rhizomedata.com,"Washington DC Metro Area, Southern US",,https://twitter.com/RhizomeAI,,https://www.linkedin.com/company/rhizomedata,,,,,,2,1-10,"Mishal Thadani, Rahul Dubey"
TensorWave,https://www.crunchbase.com/organization/tensorwave,,,Active,For Profit,2024-01-23,TensorWave helps businesses leverage the potential of artificial intelligence and develop advanced AI-based software. It was founded in 2023.,Seed,2023-12-01,month,"Artificial Intelligence (AI), Cloud Computing, Cloud Infrastructure, Generative AI, IaaS","Las Vegas, Nevada, United States",TensorWave helps businesses leverage the potential of artificial intelligence and develop advanced AI-based software.,"26,523",2328000,USD,2328000,2328000,USD,2328000,1,FundNV,1,https://tensorwave.com,Western US,,,,,,,,,,,11-50,
Terra AI,https://www.crunchbase.com/organization/terra-ai,,,Active,For Profit,2023-10-01,"Terra's AI platform models and optimizes complex natural resource projects, enabling faster designs, reduced capital costs, and improved energy/resource output for large-scale developments.",Pre-Seed,2023-09-01,month,"Artificial Intelligence (AI), Energy, Natural Resources","Palo Alto, California, United States",Intelligent Systems for Natural Resource Development,"28,298",3300000,USD,3300000,3300000,USD,3300000,3,"Khosla Ventures, Plug and Play, StoryHouse Ventures",,https://www.terraai.com,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/terra-ai-sys,,,,,,2,1-10,"Anthony Corso, John Mern"
Docket,https://www.crunchbase.com/organization/docket-a41f,,2,Active,For Profit,2023-10-03,Docket is an artificial intelligence platform that helps virtual sales engineers to build knowledge graphs using big language models.,Venture - Series Unknown,2023-08-01,month,Artificial Intelligence (AI),"Camas, Washington, United States",Docket is an artificial intelligence platform that helps virtual sales engineers to build knowledge graphs using big language models.,"28,800",5350000,USD,5350000,5350000,USD,5350000,,,,https://www.docketai.com,"West Coast, Western US",$1M to $10M,,,https://www.linkedin.com/company/docket-inc,,,,,,,11-50,
